StartDate,EndDate,Status,Q8,Gender,Age,Education,Experience,SUS Website_1,SUS Website_2,SUS Website_3,SUS Website_4,SUS Website_5,SUS Website_6,SUS Website_7,SUS Website_8,SUS Website_9,SUS Website_10,SUS 2FA_1,SUS 2FA_2,SUS 2FA_3,SUS 2FA_4,SUS 2FA_5,SUS 2FA_6,SUS 2FA_7,SUS 2FA_8,SUS 2FA_9,SUS 2FA_10
Start Date,End Date,Response Type,Ask the study coordinator which group you are in.,Please select your gender:,Please select the range that includes your age.,Please select your highest level of education.,How computer savvy do you consider yourself?,"In the following survey, the word “system” refers to the banking website you used. All questions must be answered. If you feel you cannot answer one of the items, mark the neutral on the scale. Please record your initial reaction after carefully reading each question. - I think that I would like to use this system frequently.","In the following survey, the word “system” refers to the banking website you used. All questions must be answered. If you feel you cannot answer one of the items, mark the neutral on the scale. Please record your initial reaction after carefully reading each question. - I found the system unnecessarily complex.","In the following survey, the word “system” refers to the banking website you used. All questions must be answered. If you feel you cannot answer one of the items, mark the neutral on the scale. Please record your initial reaction after carefully reading each question. - I thought the system was easy to use.","In the following survey, the word “system” refers to the banking website you used. All questions must be answered. If you feel you cannot answer one of the items, mark the neutral on the scale. Please record your initial reaction after carefully reading each question. - I think that I would need the support of a technical person to be able to use this system.","In the following survey, the word “system” refers to the banking website you used. All questions must be answered. If you feel you cannot answer one of the items, mark the neutral on the scale. Please record your initial reaction after carefully reading each question. - I found the various functions in this system were well integrated.","In the following survey, the word “system” refers to the banking website you used. All questions must be answered. If you feel you cannot answer one of the items, mark the neutral on the scale. Please record your initial reaction after carefully reading each question. - I thought there was too much inconsistency in this system.","In the following survey, the word “system” refers to the banking website you used. All questions must be answered. If you feel you cannot answer one of the items, mark the neutral on the scale. Please record your initial reaction after carefully reading each question. - I would imagine that most people would learn to use this system very quickly.","In the following survey, the word “system” refers to the banking website you used. All questions must be answered. If you feel you cannot answer one of the items, mark the neutral on the scale. Please record your initial reaction after carefully reading each question. - I found the system very awkward to use.","In the following survey, the word “system” refers to the banking website you used. All questions must be answered. If you feel you cannot answer one of the items, mark the neutral on the scale. Please record your initial reaction after carefully reading each question. - I felt very confident using the system.","In the following survey, the word “system” refers to the banking website you used. All questions must be answered. If you feel you cannot answer one of the items, mark the neutral on the scale. Please record your initial reaction after carefully reading each question. - I needed to learn a lot of things before I could get going with this system.","In the following survey, the word “system” refers to the authentication (login) system you used. All questions must be answered. If you feel you cannot answer one of the items, mark the neutral on the scale. Please record your initial reaction after carefully reading each question. - I think that I would like to use this system frequently.","In the following survey, the word “system” refers to the authentication (login) system you used. All questions must be answered. If you feel you cannot answer one of the items, mark the neutral on the scale. Please record your initial reaction after carefully reading each question. - I found the system unnecessarily complex.","In the following survey, the word “system” refers to the authentication (login) system you used. All questions must be answered. If you feel you cannot answer one of the items, mark the neutral on the scale. Please record your initial reaction after carefully reading each question. - I thought the system was easy to use.","In the following survey, the word “system” refers to the authentication (login) system you used. All questions must be answered. If you feel you cannot answer one of the items, mark the neutral on the scale. Please record your initial reaction after carefully reading each question. - I think that I would need the support of a technical person to be able to use this system.","In the following survey, the word “system” refers to the authentication (login) system you used. All questions must be answered. If you feel you cannot answer one of the items, mark the neutral on the scale. Please record your initial reaction after carefully reading each question. - I found the various functions in this system were well integrated.","In the following survey, the word “system” refers to the authentication (login) system you used. All questions must be answered. If you feel you cannot answer one of the items, mark the neutral on the scale. Please record your initial reaction after carefully reading each question. - I thought there was too much inconsistency in this system.","In the following survey, the word “system” refers to the authentication (login) system you used. All questions must be answered. If you feel you cannot answer one of the items, mark the neutral on the scale. Please record your initial reaction after carefully reading each question. - I would imagine that most people would learn to use this system very quickly.","In the following survey, the word “system” refers to the authentication (login) system you used. All questions must be answered. If you feel you cannot answer one of the items, mark the neutral on the scale. Please record your initial reaction after carefully reading each question. - I found the system very awkward to use.","In the following survey, the word “system” refers to the authentication (login) system you used. All questions must be answered. If you feel you cannot answer one of the items, mark the neutral on the scale. Please record your initial reaction after carefully reading each question. - I felt very confident using the system.","In the following survey, the word “system” refers to the authentication (login) system you used. All questions must be answered. If you feel you cannot answer one of the items, mark the neutral on the scale. Please record your initial reaction after carefully reading each question. - I needed to learn a lot of things before I could get going with this system."
2018-03-26 10:00:36,2018-03-26 10:03:08,IP Address,2 (TOTP),Female,20-29,"Some College, No Degree",Somewhat above average,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree
2018-03-26 10:34:10,2018-03-26 10:36:01,IP Address,2 (TOTP),Male,20-29,Bachelor Degree,Far above average,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree
2018-03-26 11:11:58,2018-03-26 11:13:46,IP Address,2 (TOTP),Male,20-29,"Some College, No Degree",Somewhat above average,Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Disagree,Neutral,Disagree,Agree,Agree,Neutral,Disagree
2018-03-26 11:31:27,2018-03-26 11:33:25,IP Address,2 (TOTP),Female,20-29,"Some College, No Degree",Average,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree
2018-03-26 11:58:20,2018-03-26 12:00:04,IP Address,2 (TOTP),Female,20-29,"Some College, No Degree",Average,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Neutral,Strongly Disagree,Neutral,Disagree,Neutral,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree
2018-03-26 12:27:51,2018-03-26 12:29:20,IP Address,3 (Printed Codes),Male,20-29,"Some College, No Degree",Somewhat above average,Neutral,Disagree,Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Disagree,Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Disagree
2018-03-28 09:58:56,2018-03-28 10:00:01,IP Address,5 (Push),Male,20-29,"Some College, No Degree",Average,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Agree,Strongly Disagree
2018-03-28 10:29:50,2018-03-28 10:31:23,IP Address,1 (SMS),Male,20-29,"Some College, No Degree",Average,Agree,Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Disagree,Neutral,Disagree,Agree,Disagree,Agree,Strongly Disagree
2018-03-28 11:54:52,2018-03-28 12:04:21,IP Address,2 (TOTP),Male,20-29,"Some College, No Degree",Far above average,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree
2018-03-28 12:30:46,2018-03-28 12:32:43,IP Address,3 (Printed Codes),Male,20-29,Associate Degree,Far above average,Neutral,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Neutral,Neutral,Strongly Disagree,Neutral,Disagree,Strongly Agree,Agree,Neutral,Strongly Disagree
2018-03-28 13:28:46,2018-03-28 13:30:53,IP Address,1 (SMS),Male,20-29,"Some College, No Degree",Somewhat above average,Neutral,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Neutral,Disagree,Strongly Agree,Disagree,Agree,Disagree
2018-03-28 14:01:29,2018-03-28 14:04:13,IP Address,2 (TOTP),Female,20-29,"Some College, No Degree",Average,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree
2018-03-28 15:30:56,2018-03-28 15:32:50,IP Address,2 (TOTP),Female,20-29,"Some College, No Degree",Average,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Neutral,Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree
2018-03-29 10:00:53,2018-03-29 10:03:21,IP Address,1 (SMS),Male,20-29,Associate Degree,Average,Disagree,Neutral,Neutral,Strongly Disagree,Agree,Disagree,Agree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree
2018-03-29 11:34:13,2018-03-29 11:36:06,IP Address,2 (TOTP),Female,20-29,"Some College, No Degree",Somewhat above average,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Neutral,Neutral,Strongly Disagree,Neutral,Disagree,Neutral,Neutral,Agree,Disagree
2018-03-29 11:59:11,2018-03-29 12:02:44,IP Address,5 (Push),Male,30-39,Associate Degree,Somewhat above average,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree
2018-03-29 13:30:19,2018-03-29 13:31:58,IP Address,2 (TOTP),Female,20-29,"Some College, No Degree",Somewhat above average,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree
2018-03-29 14:04:30,2018-03-29 14:06:01,IP Address,6 (Password),Male,20-29,Associate Degree,Far above average,Agree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree
2018-03-29 14:15:38,2018-03-29 14:18:19,IP Address,5 (Push),Male,20-29,"Some College, No Degree",Somewhat above average,Neutral,Strongly Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Neutral,Strongly Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree
2018-03-29 16:00:03,2018-03-29 16:01:50,IP Address,5 (Push),Male,20-29,"Some College, No Degree",Somewhat above average,Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Neutral,Agree,Disagree,Neutral,Neutral,Agree,Disagree
2018-03-29 16:23:33,2018-03-29 16:24:55,IP Address,3 (Printed Codes),Male,20-29,"Some College, No Degree",Far above average,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree
2018-03-30 10:05:44,2018-03-30 10:07:50,IP Address,5 (Push),Female,20-29,"Some College, No Degree",Far above average,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree
2018-03-30 10:20:39,2018-03-30 10:22:30,IP Address,1 (SMS),Male,20-29,Associate Degree,Average,Agree,Neutral,Agree,Strongly Disagree,Neutral,Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Neutral,Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree
2018-03-30 11:00:45,2018-03-30 11:04:17,IP Address,1 (SMS),Male,20-29,"Some College, No Degree",Somewhat above average,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Strongly Disagree
